datetime,open,high,low,close,volume
2023/03/06 23:21:00,15816,15816,15813,15813,60
2023/03/06 23:22:00,15814,15815,15812,15812,142
2023/03/06 23:23:00,15813,15815,15810,15810,169
2023/03/06 23:24:00,15811,15813,15810,15813,127
2023/03/06 23:25:00,15813,15817,15813,15817,178
2023/03/06 23:26:00,15816,15817,15813,15813,96
2023/03/06 23:27:00,15814,15817,15814,15817,136
2023/03/06 23:28:00,15817,15818,15816,15818,108
2023/03/06 23:29:00,15817,15822,15817,15822,509
2023/03/06 23:30:00,15821,15822,15818,15818,333
2023/03/06 23:31:00,15820,15822,15818,15818,181
2023/03/06 23:32:00,15821,15823,15821,15823,126
2023/03/06 23:33:00,15822,15824,15822,15824,146
2023/03/06 23:34:00,15822,15822,15819,15819,103
2023/03/06 23:35:00,15820,15823,15820,15823,136
2023/03/06 23:36:00,15822,15823,15820,15820,66
2023/03/06 23:37:00,15820,15821,15817,15821,336
2023/03/06 23:38:00,15820,15823,15819,15823,143
2023/03/06 23:39:00,15822,15825,15822,15825,207
