datetime,open,high,low,close,volume
2023-01-03 09:00:00,14002.0,14003.0,13967.0,13968.0,77
2023-01-03 10:00:00,13976.0,13979.0,13893.0,13963.0,349
2023-01-03 11:00:00,13959.0,14083.0,13954.0,14080.0,246
2023-01-03 12:00:00,14085.0,14132.0,14070.0,14132.0,184
2023-01-03 13:00:00,14135.0,14175.0,14118.0,14160.0,232
2023-01-03 14:00:00,14158.0,14166.0,14149.0,14160.0,76
2023-01-03 16:00:00,14158.0,14194.0,14142.0,14194.0,67
2023-01-03 17:00:00,14194.0,14221.0,14187.0,14221.0,86
2023-01-03 18:00:00,14221.0,14238.0,14216.0,14230.0,87
2023-01-03 19:00:00,14234.0,14244.0,14216.0,14222.0,114
2023-01-03 20:00:00,14225.0,14225.0,14174.0,14175.0,50
2023-01-03 21:00:00,14163.0,14182.0,14157.0,14170.0,45
2023-01-03 22:00:00,14175.0,14200.0,14162.0,14195.0,53
2023-01-03 23:00:00,14190.0,14230.0,14145.0,14147.0,145
2023-01-04 00:00:00,14142.0,14170.0,14115.0,14170.0,158
2023-01-04 01:00:00,14170.0,14170.0,14092.0,14095.0,73
2023-01-04 02:00:00,14090.0,14122.0,14080.0,14080.0,53
2023-01-04 03:00:00,14090.0,14112.0,14090.0,14112.0,15
2023-01-04 04:00:00,14094.0,14120.0,14085.0,14120.0,8
2023-01-04 05:00:00,14133.0,14142.0,14127.0,14129.0,11
2023-01-04 09:00:00,14129.0,14145.0,14125.0,14125.0,44
2023-01-04 10:00:00,14120.0,14200.0,14117.0,14182.0,164
2023-01-04 11:00:00,14179.0,14184.0,14137.0,14155.0,75
2023-01-04 12:00:00,14160.0,14181.0,14120.0,14144.0,90
2023-01-04 13:00:00,14148.0,14151.0,14133.0,14151.0,46
2023-01-04 14:00:00,14155.0,14173.0,14140.0,14141.0,61
2023-01-04 16:00:00,14140.0,14162.0,14138.0,14162.0,14
2023-01-04 17:00:00,14164.0,14198.0,14164.0,14180.0,64
2023-01-04 18:00:00,14173.0,14178.0,14170.0,14174.0,24
2023-01-04 19:00:00,14180.0,14184.0,14161.0,14168.0,13
2023-01-04 20:00:00,14166.0,14183.0,14165.0,14178.0,8
2023-01-04 21:00:00,14167.0,14173.0,14155.0,14161.0,30
2023-01-04 22:00:00,14159.0,14209.0,14157.0,14197.0,80
2023-01-04 23:00:00,14196.0,14233.0,14190.0,14210.0,100
2023-01-05 00:00:00,14201.0,14218.0,14145.0,14205.0,149
2023-01-05 01:00:00,14207.0,14264.0,14198.0,14262.0,143
2023-01-05 02:00:00,14262.0,14270.0,14240.0,14240.0,87
2023-01-05 03:00:00,14240.0,14269.0,14230.0,14256.0,57
2023-01-05 04:00:00,14266.0,14275.0,14218.0,14262.0,50
2023-01-05 05:00:00,14264.0,14274.0,14238.0,14259.0,15
2023-01-05 09:00:00,14254.0,14271.0,14240.0,14240.0,51
2023-01-05 10:00:00,14234.0,14300.0,14234.0,14243.0,247
2023-01-05 11:00:00,14243.0,14243.0,14200.0,14218.0,145
